Part,Color,Quantity,Is Spare
4032a,0,4,False
2654,0,2,False
54187,0,1,False
3737,0,1,False
3708,0,1,False
3705,0,5,False
3706,0,1,False
3707,0,1,False
32039,0,22,False
32013,0,6,False
32034,0,5,False
32016,0,4,False
32015,0,3,False
32014,0,2,False
32184,0,4,False
60483,0,6,False
41677,0,2,False
11478,0,4,False
6629,0,2,False
33299a,0,1,False
60484,0,2,False
32270,0,2,False
32269,0,1,False
64781,0,2,False
88323,0,5,False
11954,0,4,False
87080,0,1,False
87086,0,1,False
64683,0,2,False
64391,0,2,False
64394,0,1,False
64680,0,1,False
64681,0,1,False
64393,0,1,False
87408,0,1,False
32138,0,4,False
2780,0,170,False
6628,0,8,False
57519,0,2,False
89201,0,2,False
44309,0,2,False
41897,0,2,False
44771,0,4,False
43093,1,1,True
43093,1,57,False
6558,1,33,False
85545,1,2,False
6553,72,2,False
87083,72,8,False
59426,72,4,False
55013,72,6,False
42003,72,4,False
6575,72,2,False
6542b,72,2,False
3648b,72,3,False
10928,72,2,False
62821b,72,1,False
32005a,72,2,False
10197,72,2,False
92906,72,2,False
92911,72,1,False
92909,72,2,False
10288,308,5,False
6587,28,16,False
57539,179,2,False
4519,71,12,False
32073,71,8,False
44294,71,2,False
60485,71,5,False
2736,71,2,False
6536,71,4,False
98989,71,3,False
63869,71,2,False
32525,71,6,False
32009,71,4,False
43857,71,3,False
41677,71,1,False
32523,71,10,False
6632,71,10,False
32316,71,5,False
32524,71,16,False
40490,71,7,False
32140,71,8,False
32526,71,6,False
64178,71,6,False
64179,71,9,False
99773,71,5,False
3713,71,45,False
3713,71,1,True
87407,71,2,False
3649,71,2,False
55615,71,4,False
48989,71,10,False
87082,71,2,False
32557,71,4,False
62462,71,2,False
32494,71,2,False
92910,71,1,False
50163,71,1,False
61903,71,2,False
4716,71,1,False
92908,71,2,False
42610,71,7,False
55982,71,5,False
13971,71,1,False
56145,71,3,False
56908,71,2,False
15038,71,4,False
32062,4,22,False
59443,4,4,False
32523,4,2,False
32140,4,4,False
6641,4,1,False
6539,4,1,False
11946,4,2,False
11947,4,2,False
85544,4,2,False
14149,4,28,False
41669,4,2,False
99008,19,2,False
6538b,19,1,False
3749,19,6,False
6589,19,3,False
6589,19,1,True
32198,19,1,False
32002,19,6,False
32002,19,1,True
32556,19,14,False
54190,47,1,False
98578,33,2,False
3941,41,2,False
78c19,41,4,False
98585,41,2,False
3941,42,2,False
59900,36,4,False
98138,36,6,False
98138,36,1,True
85543,15,2,False
54572,15,1,False
32009,15,2,False
32278,15,13,False
32523,15,1,False
41669,15,1,False
32123b,14,16,False
32123b,14,1,True
85546,14,2,False
