id,color,quantity,is_spare
3957b,0,4,False
3004,0,4,False
3010,0,4,False
3009,0,2,False
3003,0,6,False
3002,0,4,False
3659,0,4,False
49307,0,4,False
4733,0,2,False
11211,0,4,False
3020,0,4,False
11212,0,2,False
6141,0,1,True
6141,0,8,False
49668,0,4,False
15573,0,4,False
60478,0,2,False
87580,0,4,False
18674,0,4,False
85984,0,4,False
3298,0,2,False
15672,0,4,False
60481,0,4,False
15068,0,2,False
3665,0,4,False
3660,0,4,False
25269,0,1,True
25269,0,4,False
15712,0,4,False
3004,1,6,False
3003,1,6,False
3001,1,4,False
2456,1,2,False
15254,1,2,False
60475b,1,4,False
87087,1,4,False
3023,1,4,False
3022,1,4,False
3795,1,2,False
3032,1,2,False
6141,1,6,False
6141,1,1,True
49668,1,4,False
60478,1,4,False
3039,1,8,False
4460b,1,4,False
3004,10,12,False
3020,10,4,False
3031,10,2,False
6141,10,1,True
6141,10,6,False
85984,10,4,False
3004,212,10,False
3010,212,4,False
3062b,212,4,False
3005,191,8,False
3622,191,4,False
3001,191,4,False
3020,191,2,False
49668,191,4,False
3040b,191,4,False
50950,191,4,False
3004,226,6,False
3010,226,4,False
3003,226,6,False
6182,226,2,False
6091,226,4,False
14716,29,4,False
3004,29,8,False
3001,29,4,False
87087,29,4,False
3023,29,4,False
3022,29,4,False
3021,29,4,False
6141,29,1,True
6141,29,8,False
85984,29,4,False
15068,29,4,False
3004,1050,6,False
87087,1050,4,False
54200,1050,6,False
54200,1050,1,True
3004,321,8,False
3622,321,4,False
3941,321,6,False
30414,321,2,False
54200,321,6,False
54200,321,1,True
3298,321,2,False
3005,272,6,False
3003,272,4,False
11211,272,4,False
3024,272,1,True
3024,272,8,False
3710,272,4,False
3020,272,4,False
3032,272,2,False
15573,272,4,False
3040b,272,4,False
3045,272,4,False
15068,272,2,False
3001,72,4,False
3062b,72,6,False
32952,72,4,False
3023,72,8,False
3710,72,4,False
3021,72,6,False
3795,72,2,False
11212,72,2,False
3040b,72,6,False
3039,72,4,False
3062b,308,4,False
60474,308,2,False
3040b,308,4,False
3004,288,8,False
3003,288,6,False
3023,288,6,False
3040b,288,6,False
15068,288,4,False
3005,484,6,False
3622,484,6,False
3003,484,6,False
3062b,484,4,False
3040b,484,6,False
3010,5,4,False
3003,5,4,False
87087,5,4,False
35480,5,4,False
24246,5,1,True
24246,5,4,False
3003,85,6,False
3001,85,4,False
6005,85,2,False
3004,320,6,False
3009,320,4,False
3003,320,4,False
87087,320,4,False
85984,320,4,False
3004,28,6,False
3010,28,6,False
3021,28,4,False
3795,28,2,False
35480,28,4,False
41740,28,4,False
18674,28,4,False
54200,28,1,True
54200,28,6,False
3039,28,4,False
3678b,28,2,False
3665,28,4,False
2450,28,4,False
3005,3,6,False
3004,3,8,False
3001,3,4,False
30367c,3,2,False
3021,3,4,False
15068,3,4,False
89522,179,2,False
89522,179,1,True
3622,2,4,False
3002,2,4,False
3941,2,4,False
24866,2,4,False
24866,2,1,True
2423,2,4,False
32607,2,6,False
3022,2,4,False
3034,2,2,False
3036,2,1,False
4286,2,4,False
3004,31,6,False
3010,31,4,False
3003,31,4,False
3941,31,4,False
3039,31,4,False
6182,323,2,False
6091,323,4,False
87087,323,4,False
3005,71,6,False
3003,71,8,False
3001,71,4,False
15254,71,2,False
60476,71,4,False
47905,71,2,False
30414,71,2,False
3024,71,1,True
3024,71,6,False
3034,71,2,False
11476,71,2,False
3039,71,4,False
60481,71,4,False
4287c,71,4,False
3665,71,4,False
3005,27,10,False
3004,27,8,False
3003,27,6,False
3001,27,4,False
6091,27,2,False
33243,27,4,False
30165,27,2,False
