id,color,quantity,is_spare
3062b,27,6,False
30367c,27,2,False
4733,27,2,False
30176,27,4,False
3023,27,6,False
3795,27,2,False
54200,27,1,True
54200,27,6,False
11477,27,4,False
3004,26,6,False
3020,26,2,False
50950,26,4,False
3005,322,6,False
3003,322,4,False
3001,322,4,False
6091,322,4,False
6215,322,4,False
3032,322,2,False
4032a,322,6,False
4286,322,4,False
15068,322,2,False
3005,73,8,False
3002,73,4,False
4070,73,4,False
3023,73,6,False
3020,73,4,False
54200,73,1,True
54200,73,6,False
3005,30,6,False
3040b,30,4,False
6182,84,2,False
6091,84,4,False
60475b,84,4,False
3004,326,4,False
3010,326,6,False
54200,326,1,True
54200,326,6,False
15068,326,4,False
3004,25,8,False
3003,25,4,False
3002,25,4,False
3941,25,4,False
96874,25,1,False
3942c,25,2,False
3023,25,6,False
3022,25,6,False
3795,25,2,False
54200,25,8,False
54200,25,1,True
3298,25,4,False
3660,25,4,False
3005,4,6,False
3004,4,10,False
3010,4,4,False
3003,4,6,False
3001,4,4,False
6215,4,2,False
3062b,4,4,False
32952,4,4,False
22885,4,2,False
3023,4,8,False
3666,4,4,False
3020,4,4,False
6141,4,1,True
6141,4,8,False
49668,4,4,False
3037,4,4,False
4287c,4,4,False
3005,70,8,False
2453b,70,4,False
3004,70,10,False
3003,70,8,False
2357,70,4,False
3002,70,4,False
6091,70,4,False
30414,70,2,False
59900,70,6,False
3960,70,2,False
3022,70,4,False
3034,70,2,False
6141,70,1,True
6141,70,10,False
60478,70,2,False
85984,70,4,False
3039,70,4,False
15068,70,2,False
4287c,70,4,False
3622,19,8,False
3003,19,8,False
3002,19,4,False
2456,19,2,False
87081,19,2,False
87087,19,6,False
22885,19,2,False
4740,19,4,False
3023,19,8,False
3034,19,2,False
3035,19,2,False
32828,19,1,True
32828,19,4,False
6003,19,2,False
85984,19,4,False
3039,19,4,False
3747b,19,2,False
3062b,41,4,False
59900,41,2,False
3039,41,2,False
6126b,41,2,False
59900,182,2,False
6126b,182,2,False
36840,15,2,False
3004,15,10,False
3245c,15,4,False
3622,15,6,False
3010,15,6,False
3003,15,6,False
3001,15,4,False
6182,15,4,False
30165,15,4,False
60476,15,4,False
47905,15,2,False
59900,15,8,False
24946,15,2,False
3023,15,4,False
3022,15,4,False
3021,15,4,False
3795,15,2,False
3031,15,2,False
6141,15,16,False
6141,15,1,True
60474,15,4,False
49668,15,6,False
15573,15,6,False
99206,15,2,False
60477,15,4,False
4286,15,4,False
3040b,15,4,False
3039,15,4,False
24309,15,2,False
3747b,15,4,False
98138pr0026,15,1,True
98138pr0026,15,6,False
98138pr0027,15,1,True
98138pr0027,15,8,False
98138pr0008,15,1,True
98138pr0008,15,16,False
3005,14,6,False
3004,14,10,False
3622,14,6,False
2357,14,6,False
3001,14,4,False
6091,14,4,False
30165,14,2,False
3941,14,4,False
87087,14,6,False
3021,14,4,False
6141,14,6,False
6141,14,1,True
11476,14,2,False
4286,14,4,False
15672,14,4,False
3039,14,6,False
3660,14,4,False
51739,14,2,False
